Op,duration,Reg/Trd,Mem,Thread
conv2d,132832,160,16384,25088
__add__,2848,20,20,25088
batch_norm,175360,48,144,32768
relu,43392,20,20,401408
max_pool2d,47456,26,26,401408
conv2d,100192,126,49152,401408
__add__,2784,20,20,401408
batch_norm,16735,38,26768,401408
relu,5888,20,20,401408
conv2d,98816,126,49152,401408
__add__,2784,20,20,401408
batch_norm,16736,38,26768,401408
__iadd__,10176,20,20,401408
relu,5888,20,20,401408
conv2d,97951,126,49152,401408
__add__,2784,20,20,401408
batch_norm,16704,38,26768,401408
relu,5856,20,20,401408
conv2d,98528,126,49152,401408
__add__,3168,20,20,401408
batch_norm,16672,38,26768,401408
__iadd__,10112,20,20,401408
relu,5920,20,20,401408
conv2d,572253,79,6400,401408
__add__,2464,20,20,401408
batch_norm,12544,38,8336,401408
relu,4096,20,20,401408
conv2d,124928,126,49152,401408
__add__,2784,20,20,401408
batch_norm,12416,38,8336,401408
conv2d,21120,128,16384,401408
__add__,2624,20,20,401408
batch_norm,12448,38,8336,401408
__iadd__,6624,20,20,401408
relu,4128,20,20,401408
conv2d,125824,126,49152,401408
__add__,2816,20,20,401408
batch_norm,12672,38,8336,401408
relu,4096,20,20,401408
conv2d,125055,126,49152,401408
__add__,2752,20,20,401408
batch_norm,12832,38,8336,401408
__iadd__,5824,20,20,401408
relu,4096,20,20,401408
conv2d,166560,128,4224,401408
__add__,2528,20,20,401408
batch_norm,15872,38,2192,401408
relu,3424,20,20,401408
conv2d,167967,126,49152,401408
__add__,2784,20,20,401408
batch_norm,15808,38,2192,401408
conv2d,27168,128,16384,401408
__add__,2464,20,20,401408
batch_norm,15519,38,2192,401408
__iadd__,3744,20,20,401408
relu,3425,20,20,401408
conv2d,168031,126,49152,401408
__add__,2720,20,20,401408
batch_norm,15777,38,2192,401408
relu,3488,20,20,401408
conv2d,165632,126,49152,401408
__add__,2784,20,20,401408
batch_norm,15711,38,2192,401408
__iadd__,4064,20,20,401408
relu,3456,20,20,401408
conv2d,273311,128,16384,401408
__add__,2816,20,20,401408
batch_norm,25344,38,2192,401408
relu,3520,20,20,401408
conv2d,373887,126,49152,401408
__add__,2752,20,20,401408
batch_norm,26016,38,2192,401408
conv2d,41088,128,16384,401408
__add__,2528,20,20,401408
batch_norm,24896,38,2192,401408
__iadd__,3168,20,20,401408
relu,2976,20,20,401408
conv2d,394495,126,49152,401408
__add__,2720,20,20,401408
batch_norm,26112,38,2192,401408
relu,3072,20,20,401408
conv2d,393695,126,49152,401408
__add__,2752,20,20,401408
batch_norm,25824,38,2192,401408
__iadd__,3552,20,20,401408
relu,3040,20,20,401408
adaptive_avg_pool2d,8000,30,30,401408
linear,16288,60,3072,401408
